,List Sr. No.,Set No.,2020 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,"ODI
caps","T20
caps",IPL,Previous IPLTeam(s),"2019
Team","2019
IPL",C/U/A,"Reserve
Price Rs Lakh",Surname.1
0,1,1,BA1,Aaron,Finch,Australia,CA,1986-11-17,33,BATSMAN,RHB,LEFT ARM Slow Orthodox,5.0,119.0,58.0,75.0,"RR, DD, PWI, SRH, MI, GL, KXIP",,,Capped,100,Finch
1,2,1,BA1,Chris,Lynn,Australia,CA,1990-04-10,29,BATSMAN,RHB,LEFT ARM Slow Orthodox,,4.0,18.0,41.0,"DCH, KKR",KKR,13.0,Capped,200,Lynn
2,3,1,BA1,Eoin,Morgan,England,ECB,1986-09-10,33,BATSMAN,LHB,RIGHT ARM Medium,16.0,233.0,86.0,52.0,"RCB, KKR, SRH, KXIP",,,Capped,150,Morgan
3,4,1,BA1,Cheteshwar,Pujara,India,SCA,1988-01-25,32,BATSMAN,RHB,RIGHT ARM Leg Break,75.0,5.0,,30.0,"KKR, RCB, KXIP",,,Capped,50,Pujara
4,5,1,BA1,Jason,Roy,England,ECB,1990-07-21,29,BATSMAN,RHB,RIGHT ARM Medium,5.0,84.0,32.0,8.0,"GL, DD",,,Capped,150,Roy
5,6,1,BA1,Robin,Uthappa,India,KCA,1985-11-11,34,BATSMAN,RHB,-,,46.0,13.0,177.0,"MI, RCB, PWI, KKR",KKR,12.0,Capped,150,Uthappa
6,7,1,BA1,Hanuma,Vihari,India,ACA,1993-10-13,26,BATSMAN,RHB,RIGHT ARM Off Break,7.0,,,24.0,"SRH , DC",DC,2.0,Capped,50,Vihari
7,8,2,AL1,Stuart,Binny,India,NCA,1984-06-03,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,6.0,14.0,3.0,95.0,"MI, RCB, RR",RR,8.0,Capped,50,Binny
8,9,2,AL1,Pat,Cummins,Australia,CA,1993-05-08,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,25.0,58.0,25.0,16.0,"KKR, DD, MI",,,Capped,200,Cummins
9,10,2,AL1,Sam,Curran,England,ECB,1998-06-03,21,ALL-ROUNDER,LHB,LEFT ARM Medium Fast,12.0,2.0,5.0,9.0,KXIP,KXIP,9.0,Capped,100,Curran
10,11,2,AL1,Colin,De Grandhomme,New Zealand,NZC,1986-07-22,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,18.0,38.0,33.0,25.0,"KKR, RCB",RCB,4.0,Capped,75,De Grandhomme
11,12,2,AL1,Glenn,Maxwell,Australia,CA,1988-10-14,31,ALL-ROUNDER,RHB,RIGHT ARM Off Break,7.0,110.0,61.0,69.0,"MI, KXIP, DD",,,Capped,200,Maxwell
